location,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
US,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education,0
US,0,0,0,Full-time,Internship,Unspecified,Internet,Business Development,0
US,0,1,1,Full-time,Associate,Bachelor's Degree,Financial Services,Marketing,0
US,0,0,0,Full-time,Entry level,Unspecified,Hospital & Health Care,Administrative,1
US,0,1,1,,,,,,0
GB,1,0,1,Full-time,Executive,,Information Technology and Services,Other,0
US,0,1,1,Full-time,Mid-Senior level,,,,0
AU,0,0,0,,,,,,0
US,0,0,0,Full-time,Entry level,,Financial Services,,0
US,0,1,0,Full-time,Entry level,,Computer Software,,0
US,0,1,1,Full-time,Entry level,Bachelor's Degree,Wholesale,Sales,0
QA,0,1,0,,,,,,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Hospital & Health Care,Administrative,0
IN,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Design,0
GB,0,1,1,Full-time,Entry level,Bachelor's Degree,Internet,Engineering,0
AU,0,0,0,,,,,,0
US,1,1,1,Full-time,Associate,Unspecified,Information Technology and Services,Sales,0
US,0,1,0,,,,,,0
CA,0,0,0,,,,,,0
SE,0,1,0,Full-time,Mid-Senior level,,Broadcast Media,Information Technology,0
US,1,1,1,,,,,,0
US,0,0,0,Full-time,Entry level,,Hospital & Health Care,Administrative,1
US,0,1,1,Full-time,Director,Bachelor's Degree,Hospital & Health Care,Strategy/Planning,0
US,0,1,1,Full-time,Mid-Senior level,Master's Degree,Banking,Business Analyst,0
BE,0,1,0,Full-time,Mid-Senior level,,Food Production,,0
GB,0,1,0,,,,,,0
US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Product Management,0
GB,0,1,0,Full-time,Mid-Senior level,Unspecified,Marketing and Advertising,Marketing,0
US,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0
GB,0,1,0,Full-time,Mid-Senior level,,Media Production,Art/Creative,0
US,0,1,0,Full-time,Mid-Senior level,,Chemicals,Manufacturing,0
CA,0,0,0,,,,,,0
MX,0,1,1,,,,,,0
US,0,1,1,Full-time,Associate,Bachelor's Degree,Information Technology and Services,Sales,0
GB,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Engineering,0
GR,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Telecommunications,Information Technology,0
GB,0,1,0,Full-time,Mid-Senior level,Unspecified,Computer Software,,0
US,0,0,1,Full-time,,High School or equivalent,,,0
GB,0,1,1,Full-time,Not Applicable,High School or equivalent,Hospital & Health Care,Administrative,0
US,0,0,0,Full-time,,,Human Resources,,0
GB,0,1,0,,,,,,0
ES,0,0,0,Full-time,Mid-Senior level,,Entertainment,,0
US,0,0,0,Full-time,Not Applicable,Unspecified,Automotive,Sales,0
US,0,1,1,Full-time,Associate,High School or equivalent,Banking,Administrative,0
US,0,1,0,Full-time,,,Research,Administrative,0
GB,0,1,1,,,,,,0
US,0,0,1,Full-time,Mid-Senior level,Unspecified,Information Technology and Services,Product Management,0
GB,0,1,1,Full-time,Executive,,Financial Services,Marketing,0
US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Broadcast Media,,0
IE,0,1,0,,,,,,0
AU,0,0,0,,,,,,0
US,0,1,1,Full-time,Director,Master's Degree,Apparel & Fashion,Business Development,0
GB,0,1,1,Full-time,Entry level,Unspecified,Marketing and Advertising,Information Technology,0
US,0,0,0,Contract,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,1
DE,0,1,1,Full-time,Mid-Senior level,Master's Degree,E-Learning,Engineering,0
US,0,1,1,Full-time,Entry level,Bachelor's Degree,Oil & Energy,Other,1
US,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Services,Administrative,0
US,0,1,1,Contract,Not Applicable,Unspecified,Logistics and Supply Chain,Supply Chain,0
RO,0,1,0,Full-time,Internship,,Information Technology and Services,,0
GB,0,1,0,Full-time,Mid-Senior level,,Apparel & Fashion,,0
NZ,0,1,1,Full-time,Mid-Senior level,,Electrical/Electronic Manufacturing,Sales,0
US,0,1,1,Full-time,Associate,Unspecified,Consumer Services,Sales,0
US,0,1,0,Full-time,Associate,Bachelor's Degree,Computer Software,Sales,0
LT,0,1,0,,,,,,0
US,1,1,1,,,,,,0
GB,0,0,1,,,,,,0
US,0,1,1,,,,,,0
US,1,1,1,,,,,,0
US,0,1,0,,,,,,1
IN,0,0,1,Full-time,Not Applicable,Bachelor's Degree,Information Technology and Services,Accounting/Auditing,0
US,0,1,0,,,,,,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0
US,0,1,1,,,,,,0
US,0,1,0,,,,,,0
AU,0,1,0,Full-time,Mid-Senior level,,Medical Practice,,0
US,0,1,1,,,,,,0
US,0,1,1,,,,,,0
HK,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Games,Marketing,0
US,0,0,0,Full-time,,,,,0
CA,0,0,0,,,,,,0
GB,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Engineering,0
BE,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
GB,0,1,1,,,,,,0
US,0,1,1,,,,,,0
GR,0,0,0,Part-time,Entry level,,Accounting,Administrative,0
US,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,"Leisure, Travel & Tourism",Sales,0
NZ,0,1,1,Temporary,,,,,0
GB,0,1,0,Full-time,Mid-Senior level,,Automotive,Product Management,0
US,0,1,1,Full-time,Associate,Bachelor's Degree,Public Relations and Communications,Public Relations,0
IT,0,1,1,,,,,,0
US,0,0,0,Contract,Mid-Senior level,,Information Technology and Services,,0
US,0,1,1,Full-time,Mid-Senior level,High School or equivalent,Marketing and Advertising,Sales,0
nan,0,1,0,,,,,,0
IT,0,1,1,,,,,,0
GB,0,1,1,Full-time,Mid-Senior level,High School or equivalent,Publishing,Design,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
GR,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Marketing and Advertising,Information Technology,0
US,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education,0
US,0,1,1,Full-time,,,Information Technology and Services,,0
ES,0,1,1,,,,,,0
US,0,1,1,Full-time,Entry level,Bachelor's Degree,Retail,Administrative,0
US,0,0,0,Full-time,,Bachelor's Degree,,,0
IT,1,1,0,,,,,,0
US,0,1,1,Full-time,Entry level,High School or equivalent,Financial Services,,0
GR,0,1,1,Other,Entry level,Unspecified,Marketing and Advertising,Engineering,0
US,0,1,1,Full-time,,,,Engineering,0
ES,0,1,1,,,,,,0
US,0,1,1,Contract,,,Food & Beverages,Customer Service,0
US,0,1,1,,,,,,0
US,0,0,0,Full-time,Associate,Associate Degree,Internet,Customer Service,0
US,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Religious Institutions,Management,0
DE,0,1,1,Other,,,E-Learning,Writing/Editing,0
US,0,0,1,,,,,,0
US,0,1,1,,,,,,0
US,0,1,0,Contract,Associate,Unspecified,Computer Software,Design,0
BR,0,1,0,Full-time,Entry level,,Telecommunications,Sales,0
NL,0,0,1,,,,,,0
US,0,1,1,,Entry level,High School or equivalent,Hospital & Health Care,Health Care Provider,0
GR,0,1,1,Full-time,,Bachelor's Degree,Computer Software,Engineering,0
GB,0,1,1,Full-time,Not Applicable,High School or equivalent,Facilities Services,Customer Service,0
US,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Human Resources,Human Resources,0
DE,0,0,0,,,,,,0
US,0,0,0,Full-time,,,,,0
GR,0,1,0,Full-time,Associate,Unspecified,Internet,Information Technology,0
US,0,1,1,Full-time,,Bachelor's Degree,Internet,Engineering,0
GR,0,1,1,,,,,,0
GB,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Sales,0
PL,0,1,1,,,,,,0
US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Broadcast Media,,0
US,0,0,1,Full-time,Associate,Bachelor's Degree,Financial Services,Management,0
US,0,0,0,,,,,,0
US,0,1,0,,,,,,0
US,0,1,1,Full-time,Not Applicable,Unspecified,Marketing and Advertising,Marketing,0
GR,0,0,1,Full-time,Mid-Senior level,,"Leisure, Travel & Tourism",Information Technology,0
US,0,1,0,,,,,,0
GR,0,1,1,Full-time,Entry level,Bachelor's Degree,Information Technology and Services,Administrative,0
US,1,1,0,Full-time,Not Applicable,High School or equivalent,Consumer Services,Customer Service,0
US,0,0,0,Full-time,,,Hospital & Health Care,,1
US,0,1,0,,,,,,0
US,0,1,0,Full-time,Associate,Bachelor's Degree,Computer Software,Sales,0
GB,0,1,1,Full-time,Entry level,Bachelor's Degree,Marketing and Advertising,Research,0
GR,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Games,Information Technology,0
US,0,0,1,Full-time,Associate,Bachelor's Degree,Financial Services,Accounting/Auditing,0
NL,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0
IN,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0
US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Design,0
GB,0,1,1,Full-time,Not Applicable,,Financial Services,Administrative,0
US,0,0,0,Full-time,Not Applicable,,Consumer Goods,Customer Service,0
US,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education,0
US,0,1,1,Part-time,Entry level,Bachelor's Degree,Marketing and Advertising,Marketing,0
GB,0,0,0,Part-time,,,Accounting,,0
HK,0,1,0,Full-time,Director,Bachelor's Degree,Information Technology and Services,Information Technology,0
US,0,1,0,Full-time,,High School or equivalent,Marketing and Advertising,Marketing,0
GR,0,1,0,,,,,,0
IN,0,1,1,Full-time,Mid-Senior level,Certification,Computer Games,Art/Creative,0
US,0,1,1,,,,,,0
US,0,1,1,Full-time,Director,Bachelor's Degree,Hospital & Health Care,Human Resources,0
DE,0,1,0,Full-time,Entry level,Bachelor's Degree,Computer Software,Human Resources,0
IN,0,1,0,Contract,Associate,Certification,Animation,Art/Creative,0
GB,0,1,1,Full-time,Not Applicable,High School or equivalent,,Administrative,0
US,0,1,1,Full-time,Associate,Bachelor's Degree,Computer Software,Consulting,0
US,0,0,1,,,,,,0
CA,0,1,1,Part-time,Entry level,High School or equivalent,Education Management,Education,0
US,0,1,1,Full-time,,,Marketing and Advertising,Design,0
US,0,1,1,Full-time,Entry level,,Internet,Quality Assurance,0
GB,0,0,0,Full-time,Entry level,,Information Technology and Services,Business Development,0
GR,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,,0
GB,0,0,1,,,,,,0
US,0,1,1,,,,,,0
GB,0,1,0,,,,,,0
SE,0,0,0,Full-time,Entry level,,Information Technology and Services,Business Development,0
nan,1,1,1,Full-time,,,Computer Software,,0
US,0,1,0,Full-time,Associate,Master's Degree,Computer Software,Marketing,0
US,0,1,1,Full-time,Associate,Unspecified,Financial Services,Sales,0
US,0,1,1,Full-time,,,,,0
IN,0,0,0,,,,,,0
US,1,1,1,Full-time,Entry level,Bachelor's Degree,Marketing and Advertising,Marketing,0
US,0,0,0,,,,,,0
US,0,1,0,,,,,,0
US,0,1,1,Full-time,Entry level,,Utilities,Other,0
US,0,0,0,,,,,,0
NL,0,1,0,,,,,,0
US,0,0,1,,,,,,0
US,0,1,1,,,,,,0
US,0,0,0,,,,,,0
GB,1,1,0,Full-time,Mid-Senior level,Unspecified,Accounting,Accounting/Auditing,0
AU,1,0,0,Full-time,Associate,Unspecified,Internet,Customer Service,0
GB,0,1,1,Full-time,,Unspecified,Telecommunications,Sales,0
US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Hospital & Health Care,Health Care Provider,0
US,0,0,1,,,,,,0
US,0,1,1,,,Unspecified,,Business Development,0
US,0,1,0,Full-time,Mid-Senior level,Unspecified,Financial Services,Finance,0
CA,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0
GR,0,1,1,Full-time,Mid-Senior level,Master's Degree,Financial Services,Financial Analyst,0
MU,1,1,1,,,,,,0
CA,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Legal Services,Sales,0
US,0,0,1,,,,,,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Banking,Customer Service,0
GB,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,,0
GB,0,1,0,,,,,,0
GB,0,1,0,Full-time,Associate,Bachelor's Degree,Computer Software,Information Technology,0
US,0,0,0,Full-time,Associate,Bachelor's Degree,Environmental Services,Administrative,0
GR,0,1,0,Full-time,Not Applicable,Bachelor's Degree,Information Technology and Services,Information Technology,0
RU,0,1,0,Full-time,Director,,Information Technology and Services,Sales,0
FR,1,1,1,Other,Not Applicable,Unspecified,"Leisure, Travel & Tourism",Other,0
GR,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Telecommunications,Engineering,0
US,0,1,0,,,,,,0
GB,0,1,0,Full-time,,,Information Technology and Services,Information Technology,0
GR,0,1,1,,,,,Design,0
US,0,0,0,Full-time,Mid-Senior level,Unspecified,Information Technology and Services,Information Technology,0
HK,0,1,1,Full-time,Director,Bachelor's Degree,Information Technology and Services,Human Resources,0
US,0,1,0,Full-time,Mid-Senior level,High School or equivalent,Financial Services,Management,0
GR,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Engineering,0
CA,0,1,1,Full-time,,,,,0
US,0,0,0,,,,,,0
US,0,0,0,,,,,,0
AT,0,0,0,Full-time,Entry level,,Information Technology and Services,Business Development,0
US,0,0,0,Full-time,,,Marketing and Advertising,,0
US,0,1,1,Part-time,Entry level,High School or equivalent,Hospital & Health Care,Customer Service,0
US,0,1,1,,,,,,0
BE,0,0,0,Full-time,Entry level,,Information Technology and Services,Business Development,0
GR,0,1,1,Full-time,Entry level,Bachelor's Degree,Internet,Other,0
US,0,1,0,Full-time,,,Oil & Energy,,0
GB,0,1,0,Full-time,Director,Unspecified,Information Technology and Services,Business Development,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Government Administration,Customer Service,0
IE,0,1,1,Full-time,,,Telecommunications,Information Technology,0
DE,0,1,1,Full-time,Associate,,,,0
US,0,1,0,Full-time,,,Building Materials,Distribution,0
US,0,0,1,Contract,Mid-Senior level,Bachelor's Degree,Mechanical or Industrial Engineering,Engineering,0
GR,0,1,1,Full-time,Entry level,Bachelor's Degree,Information Technology and Services,Engineering,0
IL,0,0,0,,,,,,0
US,0,1,0,,,,,,0
US,0,1,0,Full-time,Not Applicable,High School or equivalent,Transportation/Trucking/Railroad,Other,0
GB,0,1,1,Temporary,Associate,Unspecified,Cosmetics,Sales,0
US,0,1,1,Full-time,Associate,High School or equivalent,Food Production,Manufacturing,0
US,0,0,1,Full-time,Mid-Senior level,Unspecified,Design,Information Technology,0
US,0,1,0,Full-time,Entry level,Unspecified,Consumer Services,Sales,0
CA,0,1,1,Full-time,Associate,,Internet,Information Technology,0
BE,0,1,0,Full-time,Associate,Bachelor's Degree,Computer Software,Information Technology,0
US,0,1,1,Full-time,Entry level,Bachelor's Degree,Computer Software,Sales,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,0
US,0,0,0,Full-time,,,,,0
DE,0,1,1,Full-time,Entry level,High School or equivalent,Internet,Sales,0
US,0,1,0,Full-time,Mid-Senior level,Associate Degree,Automotive,Sales,0
SG,0,1,1,Full-time,,Bachelor's Degree,Education Management,Education,0
US,0,1,1,Full-time,Associate,Bachelor's Degree,Information Technology and Services,Information Technology,0
IE,1,1,1,Full-time,Associate,Bachelor's Degree,Information Technology and Services,Information Technology,0
US,0,1,1,Full-time,Associate,Bachelor's Degree,Insurance,Human Resources,0
CA,0,1,1,Full-time,,,Human Resources,Human Resources,0
US,0,1,1,Other,Internship,Some College Coursework Completed,E-Learning,Research,0
GB,0,1,1,Full-time,Not Applicable,High School or equivalent,,Accounting/Auditing,0
GB,0,1,1,Full-time,Entry level,Unspecified,Marketing and Advertising,Engineering,0
IN,0,0,1,,,,,,0
US,0,1,0,Full-time,Associate,Bachelor's Degree,Financial Services,Management,0
US,0,1,1,Contract,Associate,Bachelor's Degree,Internet,Engineering,0
GR,0,1,0,Full-time,Mid-Senior level,,"Leisure, Travel & Tourism",,0
US,0,0,0,,,,,,1
GR,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Information Technology,0
DE,0,0,0,Full-time,Not Applicable,Bachelor's Degree,Financial Services,Engineering,0
US,0,1,1,Full-time,Mid-Senior level,Unspecified,Internet,Design,0
US,0,1,1,,,,,,0
GB,0,1,1,Part-time,Internship,Unspecified,Internet,Other,0
IN,0,0,0,Full-time,,Bachelor's Degree,Telecommunications,Customer Service,0
BE,0,1,1,Full-time,,,,,0
NZ,0,1,0,Full-time,,,Capital Markets,,0
US,0,1,0,Full-time,,,Research,Marketing,0
GB,0,1,1,Full-time,Not Applicable,High School or equivalent,,Customer Service,0
CA,0,0,0,,,,,,0
US,0,0,0,Contract,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,1
US,0,1,1,Full-time,Not Applicable,Unspecified,Financial Services,Other,0
US,0,1,1,Full-time,Entry level,Unspecified,Financial Services,Customer Service,0
CA,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
GR,0,1,1,Full-time,Entry level,Bachelor's Degree,Telecommunications,Marketing,0
US,0,1,1,,,,,,0
NZ,0,1,0,Temporary,Associate,Unspecified,Information Technology and Services,Administrative,0
CA,0,0,1,Full-time,Associate,Bachelor's Degree,E-Learning,Information Technology,0
GB,0,0,0,,,,,,0
US,0,1,0,Full-time,,,Accounting,,0
GB,0,1,0,,,,,,0
US,0,1,0,Full-time,Entry level,Associate Degree,Computer Software,Customer Service,0
US,0,1,1,Full-time,,,,,0
GB,0,1,1,,,,,,0
US,0,1,1,Full-time,Entry level,,Warehousing,,0
AE,0,0,0,,,,,,0
US,0,1,0,Part-time,Mid-Senior level,Bachelor's Degree,Hospital & Health Care,Health Care Provider,0
US,0,1,0,,,,,,0
GB,0,1,1,Full-time,,Bachelor's Degree,,Marketing,0
GR,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Hospitality,Sales,0
US,0,1,0,Full-time,Associate,Unspecified,Financial Services,Other,0
GR,0,1,1,Full-time,Mid-Senior level,,Computer Software,Product Management,0
nan,0,0,0,,,,,,0
US,0,1,1,Full-time,Entry level,High School or equivalent,Civic & Social Organization,Health Care Provider,0
US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Engineering,0
US,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Data Analyst,0
GB,0,1,0,,,,,,0
CA,0,1,1,,,,,,0
GB,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Finance,0
DE,0,1,1,Full-time,Entry level,Unspecified,Events Services,Training,0
GR,0,1,1,Full-time,Internship,Bachelor's Degree,Pharmaceuticals,Other,0
US,0,1,1,Full-time,Associate,Bachelor's Degree,Financial Services,Financial Analyst,0
GB,0,1,1,Full-time,Associate,,Airlines/Aviation,Marketing,0
GB,0,0,1,,,,,,0
US,0,1,1,,,,,Other,0
BG,0,1,1,Full-time,Mid-Senior level,,Information Technology and Services,Information Technology,0
US,0,0,0,,,,,,0
PH,0,0,0,Full-time,Not Applicable,High School or equivalent,Financial Services,Sales,0
GB,0,1,1,Full-time,Associate,Professional,Venture Capital & Private Equity,Information Technology,0
GB,0,1,1,Full-time,,,Internet,Sales,0
US,0,1,1,,,,,Sales,0
US,0,1,1,,,,,Other,0
US,1,1,0,Full-time,Entry level,High School or equivalent,Construction,Sales,0
US,0,1,1,Full-time,,,Computer Software,Information Technology,0
US,0,1,0,Contract,,,Mental Health Care,,0
CA,0,1,0,Full-time,Entry level,High School or equivalent,Facilities Services,Customer Service,0
US,0,1,1,Full-time,,Bachelor's Degree,Consumer Electronics,Engineering,0
AU,0,1,1,Full-time,Not Applicable,Bachelor's Degree,Accounting,Accounting/Auditing,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,0
US,1,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Marketing,0
US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Marketing and Advertising,Marketing,0
GB,0,1,1,Full-time,,,,,0
US,0,1,0,Full-time,Director,Bachelor's Degree,,,0
FR,0,1,1,,,,,,0
US,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Management,0
CA,0,1,1,Full-time,,,Computer Software,Information Technology,0
US,0,1,1,Full-time,Entry level,High School or equivalent,Oil & Energy,,0
IN,0,0,0,,,,,,0
US,0,1,0,Full-time,Entry level,Some College Coursework Completed,Computer Software,Customer Service,0
US,0,1,1,,,,,,0
GR,0,1,0,Full-time,,,Automotive,,0
EG,0,1,0,Contract,,,Food & Beverages,,0
US,0,0,1,Part-time,Not Applicable,High School or equivalent,Food & Beverages,,0
US,0,0,0,Part-time,Internship,,Education Management,Marketing,0
RO,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Accounting,Accounting/Auditing,0
GB,0,1,1,,,,,Marketing,0
GB,1,0,0,Part-time,Internship,Unspecified,Marketing and Advertising,Marketing,0
US,0,1,0,Full-time,Entry level,Unspecified,Financial Services,Customer Service,0
HK,0,1,0,Full-time,Associate,Bachelor's Degree,Information Technology and Services,Information Technology,0
CA,0,1,1,Full-time,Associate,Bachelor's Degree,Information Technology and Services,Sales,0
US,0,1,1,,,,,,0
GB,0,0,0,Full-time,Mid-Senior level,Unspecified,Pharmaceuticals,Information Technology,0
US,0,0,0,Full-time,,Bachelor's Degree,,,0
US,0,0,0,,,,,,0
GB,0,1,0,Full-time,Entry level,Certification,Hospitality,Management,1
NZ,0,1,1,Part-time,Associate,,Utilities,Sales,0
GB,0,1,0,,,,,,0
US,0,0,1,Full-time,Director,Bachelor's Degree,Events Services,Business Development,0
US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Broadcast Media,,0
US,0,1,0,,,,,,0
US,0,0,0,,,,,,0
US,0,1,0,Full-time,Mid-Senior level,Unspecified,Design,Design,0
US,0,1,0,Full-time,Entry level,Associate Degree,Information Technology and Services,Customer Service,0
BR,0,1,1,Full-time,Associate,Bachelor's Degree,Accounting,Accounting/Auditing,0
GB,0,0,0,Full-time,Executive,Bachelor's Degree,Banking,Accounting/Auditing,0
CA,0,0,1,Full-time,Mid-Senior level,Professional,Information Technology and Services,Information Technology,0
US,0,1,1,Full-time,Associate,,Marketing and Advertising,Sales,0
US,1,1,0,Full-time,Entry level,High School or equivalent,Marketing and Advertising,Marketing,0
QA,0,1,0,,,,,,0
US,0,0,0,Part-time,Not Applicable,Certification,"Health, Wellness and Fitness",Health Care Provider,0
US,0,1,0,Full-time,Associate,Unspecified,Financial Services,Marketing,0
GB,0,0,1,,,,,,0
GB,0,1,1,Full-time,Associate,Bachelor's Degree,Financial Services,Finance,0
US,0,1,0,,,,,,0
US,1,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Marketing and Advertising,Marketing,0
EE,0,1,0,,,,,,0
CA,0,1,1,Full-time,Entry level,Vocational - Degree,Construction,Engineering,0
US,0,0,0,Full-time,,,,,0
US,0,1,0,Full-time,,,Oil & Energy,Administrative,1
US,0,1,0,Contract,Associate,Unspecified,Construction,Consulting,0
SE,0,1,1,Full-time,Entry level,Bachelor's Degree,Consumer Electronics,Information Technology,0
US,0,1,0,Contract,Mid-Senior level,,Environmental Services,Consulting,0
DK,0,1,1,Full-time,,,Computer Software,Marketing,0
US,0,1,0,Full-time,Associate,Unspecified,Computer & Network Security,Information Technology,0
GB,0,1,0,Part-time,Mid-Senior level,Certification,Venture Capital & Private Equity,Finance,0
US,0,1,0,Full-time,Entry level,Bachelor's Degree,Computer Software,Sales,0
DK,0,1,1,Full-time,Not Applicable,,Information Technology and Services,,0
FR,0,1,0,Full-time,Associate,Bachelor's Degree,Computer Software,Information Technology,0
US,0,1,1,Contract,Associate,Bachelor's Degree,Internet,Accounting/Auditing,0
PH,0,0,0,Full-time,Entry level,,Information Technology and Services,Information Technology,0
US,0,1,1,,,,,,0
EE,0,1,1,,,,,,0
GB,0,1,0,,,,,,0
GB,1,0,0,,,,,,0
US,0,0,1,,,,,,0
CN,1,0,0,,,,,,0
GR,0,1,1,,,,,,0
US,0,1,0,Full-time,Associate,,Oil & Energy,,0
US,0,0,1,,,,,,0
GB,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Marketing and Advertising,Sales,0
US,0,1,0,Full-time,Entry level,Bachelor's Degree,Hospital & Health Care,,0
US,0,1,1,Full-time,Not Applicable,,Management Consulting,Other,0
CA,0,0,0,,,,,,0
US,0,1,1,Full-time,Not Applicable,Unspecified,Financial Services,Sales,0
GB,0,0,1,Full-time,Director,Bachelor's Degree,Internet,Customer Service,0
US,0,1,1,Full-time,Director,Bachelor's Degree,Consumer Electronics,Business Development,0
GB,0,0,0,,,,,Marketing,0
US,0,1,0,Full-time,Mid-Senior level,,Media Production,Information Technology,0
US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Broadcast Media,,0
US,0,1,1,Full-time,Director,Master's Degree,Marketing and Advertising,Business Analyst,0
GR,0,1,1,Full-time,Director,,Telecommunications,,0
IE,0,1,1,Full-time,Entry level,Unspecified,Online Media,Sales,0
US,0,0,0,,,,,,0
US,0,1,1,,,,,,0
US,1,1,1,Full-time,Associate,High School or equivalent,Computer Software,Sales,0
US,1,0,1,Contract,Mid-Senior level,,Computer Software,Information Technology,0
GR,0,1,1,Temporary,Internship,,,,0
GB,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Marketing and Advertising,Marketing,0
US,0,1,0,Contract,Mid-Senior level,Bachelor's Degree,Utilities,Accounting/Auditing,0
MY,0,1,0,Full-time,Mid-Senior level,,Marketing and Advertising,Marketing,0
US,0,1,1,Full-time,Associate,Bachelor's Degree,Computer Software,Sales,0
DK,0,1,0,Full-time,Mid-Senior level,Unspecified,Mechanical or Industrial Engineering,Consulting,0
EE,0,1,0,,,,,,0
US,0,1,1,Temporary,Internship,Bachelor's Degree,Computer Software,Information Technology,0
US,0,0,0,,,,,,0
IE,0,1,1,Full-time,Entry level,,Telecommunications,Information Technology,0
GR,0,0,1,,,,,,0
GB,0,1,0,Full-time,Mid-Senior level,Vocational,Online Media,Management,0
US,0,1,1,,,,,,0
TR,0,1,0,Full-time,Associate,,Internet,Engineering,0
CA,1,1,1,Contract,Mid-Senior level,Professional,Information Technology and Services,Information Technology,0
US,0,1,0,Full-time,Not Applicable,Unspecified,Automotive,Customer Service,0
GB,0,1,1,,,,,,0
US,0,1,0,Full-time,Mid-Senior level,,Chemicals,Manufacturing,0
GR,0,0,1,,,,,,0
US,0,0,0,,,,,,0
US,0,1,1,Full-time,Entry level,,Information Technology and Services,Administrative,0
US,0,1,1,Full-time,Mid-Senior level,,Information Technology and Services,Engineering,0
GB,0,1,0,,,,,,0
CA,0,1,0,Full-time,Entry level,High School or equivalent,Oil & Energy,Administrative,0
US,0,1,0,Contract,Entry level,High School or equivalent,Financial Services,Sales,0
US,0,0,1,,,,,,0
US,0,1,1,Part-time,,,,,0
GB,0,0,0,,,,,,0
GR,0,1,1,,,,,,0
US,0,1,1,,,,,,0
DE,0,1,1,Other,Internship,High School or equivalent,Design,Design,0
DE,0,0,1,,,,,,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Legal Services,Customer Service,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
HK,0,1,0,Full-time,Entry level,Unspecified,Information Technology and Services,,0
